     <fileName>halvani-2014.pdf</fileName>    <title>Vebav A Simple Scalable And Fast Authorship Verification Scheme</title> 846 </counter> 
     <fileName>grivas-2015.pdf</fileName>    <title>Author Profiling Using Stylometric And Structural Feature Groupings</title> 1 </counter> 
     <fileName>de-assis-thesis-2008.pdf</fileName>    <title>Uma Abordagem Baseada em Genero para Coleta Tematica de Paginas da Web</title> 1 </counter> 
     <fileName>potthast-thesis-2011.pdf</fileName>    <title>Technologies for Reusing Text from the Web</title> 1 </counter> 
     <fileName>chen-book-2006.pdf</fileName>    <title>Intelligence And Security Informatics</title> 1 </counter> 
     <fileName>savoy-2013.pdf</fileName>    <title>Authorship Attribution Based on a Probabilistic Topic Model</title> 1 </counter> 
     <fileName>rauber-2009.pdf</fileName>    <title>Web Archivierung Und Web Archive Mining Notwendigkeit Probleme Und Lösungsansätze</title> 1 </counter> 
     <fileName>kim-and-ross-cidoc-2008.pdf</fileName>    <title>Automated Genre Classification in the Management of Digital Documents</title> 1 </counter> 
     <fileName>zubarev-2014.pdf</fileName>    <title>Using Sentence Similarity Measure For Plagiarism Source Retrieval</title> 1 </counter> 
     <fileName>luyckx-lrec-2008.pdf</fileName>    <title>Personae A Corpus For Author And Personality Prediction From Text Kim Luyckx Walter Daelemans</title> 1 </counter> 
     <fileName>10257-26329-1-pb.pdf</fileName>    <title>Cwaap An Authorship Attribution Forensic Platform For Chinese Web Information</title> 1 </counter> 
     <fileName>de-arruda-2015.pdf</fileName>    <title>Classifying Informative And Imaginative Prose Using Complex Networks Henrique F De Arruda</title> 1 </counter> 
     <fileName>delgado-2013.pdf</fileName>    <title>Elearning Software For Improving Student s Music Performance Using Comparisons</title> 1 </counter> 
     <fileName>tsimpoukakis-2007.pdf</fileName>    <title>Τσιµπουκάκης Νικόλαος Υποψήφιος ιδάκτορας Εμπ</title> 1 </counter> 
     <fileName>vilares-2016.pdf</fileName>    <title>On The Feasibility Of Character Ngrams Pseudotranslation For Crosslanguage Information Retrieval Tasks</title> 1 </counter> 
     <fileName>peruginelli-2008.pdf</fileName>    <title>Multilingual Legal Information</title> 1 </counter> 
     <fileName>tang-2010.pdf</fileName>    <title>Bibliometric Fingerprints Name Disambiguation Based On Approximate Structure Equivalence Of Cognitive Maps</title> 1 </counter> 
     <fileName>segarra-2015.pdf</fileName>    <title>Stylometric Analysis Of Early Modern Period</title> 1 </counter> 
     <fileName>argamon-jasist-2007.pdf</fileName>    <title>Stylistic Text Classification Using Functional Lexical Features</title> 1 </counter> 
     <fileName>chaker-2005.pdf</fileName>    <title>Setit rd International Conference Sciences Of Electronic</title> 1 </counter> 
     <fileName>maharjan-pan-2014.pdf</fileName>    <title>A Simple Approach To Author Profiling In Mapreduce Notebook For Pan At Clef</title> 1 </counter> 
     <fileName>lopez-monroy-2012.pdf</fileName>    <title>A New Document Author Representation for Authorship Attribution</title> 1 </counter> 
     <fileName>flores-caee-2014.pdf</fileName>    <title>Uncovering Source Code Reuse In Largescale Academic Environments</title> 1 </counter> 
     <fileName>rittman-aisb-2008.pdf</fileName>    <title>Adjectives and Adverbs as Indicators of Affective Language for Automatic Genre Detection</title> 1 </counter> 
     <fileName>sayoud-2016.pdf</fileName>    <title>See Discussions Stats And Author Profiles For This Publication At Https wwwresearchgate netpublication A Visual Analytics Based Investigation On The</title> 1 </counter> 
     <fileName>ricquebourg-2014.pdf</fileName>    <title>Hal V Boosting Bonsai Trees For Handwrittenprinted Text Discrimination</title> 1 </counter> 
     <fileName>bag-2015.pdf</fileName>    <title>Adaptiveinterpolative Binarization With Stroke Preservation For Restoration Of Faint Characters In Degraded Documents</title> 1 </counter> 
     <fileName>madigan-authorid-me05-fixed.pdf</fileName>    <title>Bayesian Multinomial Logistic Regression For Author Identification</title> 1 </counter> 
     <fileName>hung-llc-2010.pdf</fileName>    <title>Quantitative Evidence for a Hypothesis Regarding the Attribution of Early Buddhist Translations</title> 1 </counter> 
     <fileName>agam-2007.pdf</fileName>    <title>Degraded Document Image Enhancement</title> 1 </counter> 
     <fileName>kim-yunhyong-2010.pdf</fileName>    <title>Formulating Representative Features with Respect to Genre Classification</title> 1 </counter> 
     <fileName>devshri-thesis-2006.pdf</fileName>    <title>Automatic Annotation Of Learning Materials For Elearning</title> 1 </counter> 
     <fileName>suzuki-paclic-2011.pdf</fileName>    <title>Analyzing the Characteristics of Academic Paper Categories by Using an Index of Representativeness</title> 1 </counter> 
     <fileName>mason-thesis-2009.pdf</fileName>    <title>An N gram Based Approach To The Automatic Classification Of Web Pages By Genre</title> 1 </counter> 
     <fileName>paskov-2015.pdf</fileName>    <title>Fast Algorithms For Learning With Long N grams Via Suffix Tree Based Matrix Multiplication</title> 1 </counter> 
     <fileName>aires-2008.pdf</fileName>    <title>Capıtulo Uso De Marcadores Estilısticos Para A</title> 1 </counter> 
     <fileName>hussain-20145.pdf</fileName>    <title>A Comprehensive Survey Of Handwritten Document Benchmarks Structure Usage And Evaluation</title> 1 </counter> 
     <fileName>roostaee-2014.pdf</fileName>    <title>Impact Of Maternal Effects On Ranking Of Animal Models For Genetic Parameter Estimation For Birth Weight In Male Afrikaner Cattle In Zimbabwe</title> 1 </counter> 
     <fileName>webber-2009.pdf</fileName>    <title>Genre distinctions for Discourse in the Penn TreeBank</title> 1 </counter> 
     <fileName>tang-2013.pdf</fileName>    <title>Recognition Of Collocation Habits Using Frequency Rank Ratio And Interterm Intimacy</title> 1 </counter> 
     <fileName>rakthanmanon-2012.pdf</fileName>    <title>Efficiently Finding Near Duplicate Figures in Archives of Historical Documents</title> 1 </counter> 
     <fileName>yingsun-dissertation-2005.pdf</fileName>    <title>The Development Of Information Technology Especially The Personal Computer And The Internet Has Two Effects On The Phenomena</title> 1 </counter> 
     <fileName>segarra-2013.pdf</fileName>    <title>Authorship Attribution Using Function Words Adjacency Networks</title> 1 </counter> 
     <fileName>gingrass-2008.pdf</fileName>    <title>Expressive Strategies And Performerlistener Communication In Organ Performance</title> 1 </counter> 
     <fileName>authorid-proposal.pdf</fileName>    <title>Cricollaborative Researchplanning Proposalcommunityresources For Research In Automated Authorship Attribution Overviewhomeland Security And The Criminal And Civil Justice Systems Increasingly Require</title> 1 </counter> 
     <fileName>kern-2013.pdf</fileName>    <title>Grammar Checker Features For Author Identification And Author Profiling</title> 1 </counter> 
     <fileName>saevanee-2015.pdf</fileName>    <title>Continuous User Authentication Using Multimodal Biometrics</title> 1 </counter> 
     <fileName>ferizis-www2006.pdf</fileName>    <title>Ddatainformation Engineeringsvnesearchwwwppferizisps</title> 1 </counter> 
     <fileName>savoy-2015.pdf</fileName>    <title>Estimating The Probability Of An Authorship Attribution</title> 1 </counter> 
     <fileName>argamon-2010.pdf</fileName>    <title>The Rest Of The Story Finding Meaning</title> 1 </counter> 
     <fileName>guthrie-thesis-2008.pdf</fileName>    <title>Unsupervised Detection of Anomalous Text</title> 1 </counter> 
     <fileName>authorship-nato-bookchapter-final-2-.pdf</fileName>    <title>Authorship Attribution In Law Enforcement Scenarios</title> 1 </counter> 
     <fileName>tschuggnall-2014.pdf</fileName>    <title>Proceedings Of The th Conference Of The European Of The Association For Computational Linguistics Pages Gothenburg Sweden April C Association For Computational L</title> 1 </counter> 
     <fileName>hsichun-chen-2007.pdf</fileName>    <title>Lncs Exploring Extremism And Terrorism On The Web The Dark Web Project</title> 1 </counter> 
     <fileName>petrenz-thesis-2009.pdf</fileName>    <title>Assessing Approaches to Genre Classification</title> 1 </counter> 
     <fileName>boukhaled-2015.pdf</fileName>    <title>Rjcriboukhaled</title> 1 </counter> 
     <fileName>zafarani-2015.pdf</fileName>    <title>Bits Of Surprise Detecting Malicious Users With Minimum Information</title> 1 </counter> 
